question_id,config,task_type,ok,error,latency_ms,rag_query_count,gold_doc_coverage,gold_chunk_coverage,answer_correctness_score,answer_completeness_score,citation_accuracy_score,faithfulness_score,llm_judge_weighted_score,final_citation_count,duplicate_rag_query_count,rag_query_blocked_count,support_verdict,missing_required_items,citation_mismatches,revision_instruction,llm_judge_failure_type,llm_judge_overall_reason
Q001,c2_stage2_old_30,simple_qa,True,,11648,1,1.0,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The answer correctly lists multiple RAG components with roles, is complete and faithful, but citation accuracy is slightly weakened by chunk-level support gaps."
Q002,c2_stage2_old_30,simple_qa,True,,9151,1,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer correctly lists two RAGAS metrics with explanations, uses accurate citations, and is fully faithful to the evidence."
Q003,c2_stage2_old_30,simple_qa,True,,24295,1,1.0,0.4,1.0,0.5,1.0,1.0,0.875,5.0,0.0,0.0,,,,,none,"The answer is correct and faithful, with accurate citations, but slightly incomplete in listing all core functions of LangGraph."
Q004,c2_stage2_old_30,simple_qa,True,,8475,1,1.0,0.25,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly describes FAISS's general purpose but fails to address its role in RAG systems as required, resulting in an incomplete answer."
Q005,c2_stage2_old_30,fuzzy_query,True,,25386,1,1.0,0.0,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies Self-RAG but is incomplete due to introducing an alternative method without a clear definitive answer, and citations are partially accurate."
Q006,c2_stage2_old_30,fuzzy_query,True,,23676,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer correctly and completely identifies the key directions of Agentic RAG, uses accurate citations, and remains faithful to the evidence."
Q007,c2_stage2_old_30,fuzzy_query,True,,24384,1,0.25,0.0,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The answer recommends only 3 projects instead of the required 4 and lacks positioning descriptions, resulting in incomplete and incorrect answer."
Q008,c2_stage2_old_30,fuzzy_query,True,,24677,1,0.2,0.0,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,over_refusal,"The generated answer refuses to compare the methods due to insufficient evidence, which is faithful but fails to meet the correctness and completeness requirements of the reference answer and judge rule."
Q009,c2_stage2_old_30,multi_doc,True,,26616,1,1.0,0.2857,1.0,0.5,0.5,1.0,0.75,5.0,0.0,0.0,,,,,weak_citation,The answer correctly compares design differences but has citation weaknesses due to using non-gold chunks and navigation pages.
Q010,c2_stage2_old_30,multi_doc,True,,9953,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
