"question_id","question","task_type","difficulty","required_tool","expected_path","candidate_level","note"
"Q031","读取 data/raw/learning_docs/python_basic_sample.md，说明 Python 列表切片的基本语法，并给出 nums=[0,1,2,3,4,5] 时 nums[1:4] 的输出。","file_read","easy","file_reader","C4","formal_candidate","验证运行时文件读取和局部证据定位；来自 C4-Q001/Q002 的本地化改写"
"Q032","读取 configs/c4_tool_augmented.yaml，列出 C4 当前注册的工具名称，并说明每个工具主要适合哪类任务。","file_read","easy","file_reader","C4","formal_candidate","验证配置文件读取；答案必须来自配置文件而非泛化常识"
"Q033","根据 data/raw/tables_csv/rag_eval_results.csv，计算 Naive RAG、Query Rewrite RAG、Advanced RAG 四项指标的平均分，并指出 C0 到 C2 平均分提升多少。","calculation","medium","table_analyzer,calculator","C4-multi-tool","formal_candidate","验证 CSV 数值抽取和均值/差值计算；对应 C4-Q003"
"Q034","根据 data/raw/tables_csv/rag_eval_results.csv，仅比较 C0-C2 三种方案，哪个指标提升最大？如果存在并列，需要同时指出。","calculation","medium","table_analyzer,calculator","C4-multi-tool","formal_candidate","验证差值计算和并列最大值处理；修正原 Q019 只说 Context Recall 的风险"
"Q035","读取 data/testset/manual_eval_c2_stage3_selective.csv，统计 main_problem 的分布，并指出最多见的问题类型。","table_analysis","medium","table_analyzer","C4","historical_analysis","验证评分表分组计数；该题分析历史 Stage3 selective 评分表，不作为当前 C3-lite-next 主线证据"
"Q036","读取 data/testset/c4_input_sources/c2_c3_next_30_version_summary.csv，比较 C3-lite-next 与 C3 conservative old 的平均延迟、平均 RAG 次数和综合分，并计算 C3-lite-next 的延迟下降比例。","mixed","medium","table_analyzer,calculator","C4-multi-tool","formal_candidate","使用 B 包 results 的工程内可读副本；验证结构化表格读取和数值计算能否联动"
"Q037","运行 Python 代码 nums=[0,1,2,3,4,5]; print(nums[1:4])，返回实际输出并解释为什么 stop 下标不包含 4。","code_execution","easy","code_runner","C4","smoke_basic","验证 code_runner 基础可用性；只适合 smoke，不作为正式结论主样本"
"Q038","运行并修复这段 Python：age=18; print('age='+age)。说明原始错误类型、修复方式和最终输出。","code_execution","medium","code_runner","C4","smoke_basic","验证代码报错复现与修复；只适合 smoke，不作为正式结论主样本"
"Q039","分析 data/raw/code_snippets/agentic_rag_knowledge_crawler.py，列出脚本中至少三种数据获取方式，并各给一个代码证据。","code_execution","hard","file_reader,code_runner","C4-multi-tool","formal_candidate","验证代码文件读取和结构化分析；延续原 Q017 但明确要求工具证据"
"Q040","同时读取 data/testset/questions.csv、data/testset/references.csv 和 data/testset/manual_eval_c2.csv，找出当前主测试集中最适合 C4 的题号，并说明它们对应的 required_tool。","mixed","hard","file_reader,table_analyzer","C4-multi-tool","formal_candidate","验证多文件联合检查和工具型任务识别；用于决定 C4 smoke 入口题"
"Q041","读取 data/testset/c4_input_sources/c2_c3_next_30_task_type_summary.csv，比较 C3-lite-next 与 C2 Stage3 next 在各 task_type 上的 avg_weighted，找出提升最大的 task_type 并给出提升值。","table_analysis","hard","table_analyzer,calculator","C4-multi-tool","formal_candidate","验证按题型分组对比和差值计算；直接服务 C3-lite-next 收益分析"
"Q042","读取 data/testset/c4_input_sources/c2_c3_next_30_task_type_summary.csv，找出 C3-lite-next 表现最弱的 task_type，并列出该类型的 avg_answer、avg_citation 和 avg_weighted。","table_analysis","medium","table_analyzer","C4","formal_candidate","验证分组筛选和最低值定位；用于定位 C3-lite-next 短板题型"
"Q043","读取 configs/c4_tool_augmented.yaml，根据配置判断：读取配置文件、计算均值差异、运行 Python 片段这三类任务分别应优先选择哪个 C4 工具，并说明理由。","tool_selection","medium","file_reader","C4","formal_candidate","验证工具选择能力；答案必须依据 C4 配置而非泛化猜测"
"Q044","尝试读取 data/testset/c4_input_sources/nonexistent_c4_input.csv 并计算平均值；如果文件不存在，请明确说明无法完成，不能编造数值。","insufficient_tool","medium","file_reader,table_analyzer","C4-multi-tool","formal_candidate","验证条件不足时的保守回答；重点检查是否编造工具输出"
"Q045","读取 environment_and_git_rules.md，说明项目要求的 Python 版本、环境管理工具，以及明确不能提交的文件或目录。","file_read","medium","file_reader","C4","formal_candidate","验证文件读取和规范抽取；内容来自项目协作规范"
"Q046","读取 src/agentic_rag/experiment/c34_batch.py，说明内置 c4_tools split 当前包含哪些题号，并解释为什么新增 Q031-Q048 需要使用 split=bank 运行。","file_read","hard","file_reader","C4","formal_candidate","验证批量入口代码阅读；防止把扩展题误认为已进入内置 c4_tools split"
"Q047","读取 data/testset/c4_input_sources/c2_c3_next_30_version_summary.csv，比较 C3 conservative old 与 C3-lite-next 的 avg_final_citation_count 和 avg_citation_accuracy，计算 citation 数量下降比例，并说明这是否支持“引用收缩”的判断。","mixed","hard","table_analyzer,calculator","C4-multi-tool","formal_candidate","验证结构化指标读取和比例计算；直接服务 Citation Accuracy 口径分析"
"Q048","运行 Python 脚本读取 data/testset/c4_input_sources/c2_c3_next_30_version_summary.csv，按 avg_weighted 从高到低输出前三个 config 及分数。","code_execution","hard","code_runner","C4","formal_candidate","验证 code_runner 读取 CSV、排序和结构化输出能力；比基础代码片段更贴近项目数据"
