"question_id","reference_answer","expected_tool_call","expected_output","evidence_doc_id","evidence_chunk_id","citation_required","judge_rule"
"Q031","应说明切片语法为 list[start:stop:step]，start 是起始下标，stop 是结束下标但不包含该位置，step 是步长；nums[1:4] 的输出为 [1, 2, 3]。","topic4_file_read 读取 data/raw/learning_docs/python_basic_sample.md；必要时可用 code_runner 验证 nums[1:4]。","list[start:stop:step]; nums[1:4] -> [1, 2, 3]","data/raw/learning_docs/python_basic_sample.md","section:列表切片","yes","答出语法、stop 不包含结束位置、输出 [1, 2, 3] 且引用文件依据得 1 分；缺一项得 0.5 分；未读取文件或输出错误得 0 分"
"Q032","C4 配置中注册了 file_reader、calculator、table_analyzer、code_runner。file_reader 用于运行时读取文件或片段；calculator 用于比例、平均值等计算；table_analyzer 用于 CSV 统计、排序、计数；code_runner 用于运行受限 Python 示例代码。","topic4_file_read 读取 configs/c4_tool_augmented.yaml。","available_tools 包含 file_reader, calculator, table_analyzer, code_runner，并能说明 purpose。","configs/c4_tool_augmented.yaml","tools.available_tools","yes","列出 4 个工具并说明用途得 1 分；列出 3 个或用途不完整得 0.5 分；少于 3 个或凭空编造工具得 0 分"
"Q033","Naive RAG 四项均值为 0.8000；Query Rewrite RAG 为 0.8375；Advanced RAG 为 0.8775；从 C0 到 C2 的平均分提升为 0.0775。","topic4_table_analyzer 读取 data/raw/tables_csv/rag_eval_results.csv 后抽取三行；topic4_calculator 计算均值和差值。","Naive=0.8000; Query Rewrite=0.8375; Advanced=0.8775; Advanced-Naive=0.0775","data/raw/tables_csv/rag_eval_results.csv","rows:Naive RAG,Query Rewrite RAG,Advanced RAG","no","三个均值和提升差值都正确得 1 分；方向正确但有一个数值小误差得 0.5 分；未调用计算或结果明显错误得 0 分"
"Q034","C0 到 C2 中，faithfulness 提升 0.06，answer_relevance 提升 0.07，context_precision 提升 0.09，context_recall 提升 0.09；提升最大的是 context_precision 和 context_recall，并列 0.09。","topic4_table_analyzer 读取 data/raw/tables_csv/rag_eval_results.csv；topic4_calculator 计算 Advanced RAG 与 Naive RAG 的逐列差值。","context_precision=+0.09; context_recall=+0.09; both largest","data/raw/tables_csv/rag_eval_results.csv","rows:Naive RAG,Advanced RAG","no","能指出并列最大且给出四项差值或关键计算依据得 1 分；只指出其中一个最大项得 0.5 分；计算错误或忽略并列得 0 分"
"Q035","manual_eval_c2_stage3_selective.csv 中 main_problem 分布为 none=10、weak_citation=4、partial_answer=4、unsupported_refusal=2；最多见的问题类型是 none，说明 10 题无主要问题；在失败类型中 weak_citation 与 partial_answer 并列最多。","topic4_table_analyzer 对 data/testset/manual_eval_c2_stage3_selective.csv 的 main_problem 做 value_counts。","none=10; weak_citation=4; partial_answer=4; unsupported_refusal=2","data/testset/manual_eval_c2_stage3_selective.csv","column:main_problem","no","分布和最多见类型都正确得 1 分；只给出部分分布或没有区分 none 与失败类型得 0.5 分；统计错误得 0 分"
"Q036","c2_c3_next_30_version_summary.csv 中，C3 conservative old 平均延迟为 98314.8 ms、平均 RAG 次数为 5.3667、综合分为 0.7917；C3-lite-next 平均延迟为 41613.3 ms、平均 RAG 次数为 1.6000、综合分为 0.7958。延迟下降比例约为 57.7%，RAG 调用次数也显著下降，而综合分基本持平并小幅上升。","topic4_table_analyzer 读取 data/testset/c4_input_sources/c2_c3_next_30_version_summary.csv；topic4_calculator 计算 (98314.8-41613.3)/98314.8。","latency_drop=(98314.8-41613.3)/98314.8≈57.7%; rag_calls 5.3667 -> 1.6000; weighted 0.7917 -> 0.7958","data/testset/c4_input_sources/c2_c3_next_30_version_summary.csv","rows:c3_conservative_old_30,c3_lite_next_30","no","能从 CSV 抽取两版 C3 的延迟、RAG 次数、综合分，并正确计算约 57.7% 延迟下降得 1 分；只抽取数据但计算不完整得 0.5 分；仍使用旧 manual_eval_c3_formal.csv 或结论错误得 0 分"
"Q037","实际输出应为 [1, 2, 3]。原因是 Python 切片的 stop 下标不包含该位置，所以 nums[1:4] 取下标 1、2、3 的元素。","topic4_code_runner 执行 nums=[0,1,2,3,4,5]; print(nums[1:4])。","[1, 2, 3]","inline_python","snippet:nums[1:4]","no","真实执行并返回 [1, 2, 3]，且解释 stop 不包含结束位置得 1 分；只给输出或只解释得 0.5 分；输出错误得 0 分"
"Q038","原始代码会触发 TypeError，因为不能直接拼接字符串和整数。修复方式可以是 print('age='+str(age)) 或 f'age={age}'；最终输出为 age=18。","topic4_code_runner 先运行原代码复现 TypeError，再运行修复后的代码。","error=TypeError; fixed_output=age=18","inline_python","snippet:string_int_concat","no","复现错误类型、给出正确修复方式和最终输出得 1 分；只修复但未说明错误类型得 0.5 分；错误类型或输出错误得 0 分"
"Q039","脚本中至少有三种数据获取方式：arXiv API 使用 urllib.request.Request / urlopen 请求 export.arxiv.org/api/query；Scrapling Fetcher 使用 Fetcher.get 抓取网页；urllib 直接请求远程内容并读取响应。回答需各给代码证据。","topic4_file_read 读取 data/raw/code_snippets/agentic_rag_knowledge_crawler.py；必要时 topic4_code_runner 可辅助定位函数和调用。","urllib arXiv API; Fetcher.get; urllib.request.urlopen","data/raw/code_snippets/agentic_rag_knowledge_crawler.py","functions:crawl_real_arxiv_papers,fetch_url","yes","列出 3 种方式并各给代码证据得 1 分；只列出 2 种得 0.5 分；少于 2 种或把不存在方式当主方式得 0 分"
"Q040","当前主测试集中最适合 C4 的题号应包括 Q013、Q016、Q017、Q018、Q019；对应工具分别是 table_analyzer、calculator、code_runner、code_runner、calculator。可补充说明 Q013 是表格统计，Q016/Q019 是计算，Q017/Q018 是代码分析。","topic4_file_read 读取 data/testset/questions.csv 和 references.csv；topic4_table_analyzer 可筛选 expected_path=C4 或 required_tool 非 none；manual_eval_c2.csv 用于辅助确认这些题在 C2 中的表现。","Q013=table_analyzer; Q016=calculator; Q017=code_runner; Q018=code_runner; Q019=calculator","data/testset/questions.csv,data/testset/references.csv,data/testset/manual_eval_c2.csv","rows:Q013,Q016,Q017,Q018,Q019","yes","找出 5 个题号和对应工具得 1 分；漏 1-2 个或工具映射有小错得 0.5 分；无法完成多文件检查或明显误判得 0 分"
