question_id,reference_answer,evidence_doc_id,evidence_chunk_id,citation_required,judge_rule
Q001,"LangChain RAG 核心组件包括：① 文档加载器(Document Loaders)——从多种格式加载文档；② 文本分割器(Text Splitters)——将文档切分为块；③ 向量存储(Vector Stores)——存储文档嵌入向量；④ 检索器(Retrievers)——根据查询检索相关文档块；⑤ 大语言模型(LLM)——基于检索结果生成答案。","doc_001,doc_002",pending,yes,答出3个以上组件+作用得1分；答出3个但缺作用得0.5分；少于3个或完全错误得0分
Q002,"RAGAS 评估指标包括：① Faithfulness（忠实度）——答案是否基于检索到的上下文，检测幻觉；② Answer Relevance（答案相关性）——答案是否直接回应问题；③ Context Precision（上下文精度）——检索到的内容是否与问题相关；④ Context Recall（上下文召回）——检索内容是否覆盖答案所需信息。",doc_004,pending,yes,答出2个以上指标+解释得1分；答出2个但缺解释得0.5分；答出少于2个或完全错误得0分
Q003,"LangGraph 是基于图的状态化 Agent 框架，核心功能：① 构建多步骤 Agent 工作流，支持条件分支和循环；② 维护持久化状态，支持跨步骤状态管理；③ 与 LangChain 深度集成，可调用 LangChain 所有组件和工具。LangGraph 聚焦工作流编排，LangChain 聚焦组件抽象。",doc_008,pending,yes,答出2个以上核心功能+与 LangChain 关系得1分；仅答功能或仅答关系得0.5分；完全错误或空白得0分
Q004,"FAISS（Facebook AI Similarity Search）是高效的向量相似度搜索库，用于在大规模向量集中快速查找最近邻。在 RAG 中，它将文档嵌入向量建索引，使系统能在大规模知识库中快速检索与查询语义相关的文档块，是实现 RAG 检索步骤的基础设施之一。",doc_009,pending,yes,答出 FAISS 功能+在 RAG 中的作用得1分；仅答功能得0.5分；完全错误得0分
Q005,"您说的是 Self-RAG（2310.11511）。核心创新是让 LLM 学会『自我反思』：模型自主判断① 是否需要检索外部知识；② 检索到的内容是否可靠；③ 生成的答案是否正确。通过训练模型输出反思标记(reflection tokens)，实现自适应检索和答案质量自我验证。",doc_014,pending,yes,答出 Self-RAG+自我反思核心思想得1分；仅答论文名或仅答方法得0.5分；答错论文或空白得0分
Q006,"Agentic RAG 综述(2501.09136)涵盖的子方向包括：查询改写(Query Rewrite)、检索路由(Routing)、工具选择(Tool Selection)、多轮检索(Multi-round Retrieval)、证据验证(Evidence Verification)、答案融合(Answer Fusion)等。同时还讨论了计算效率、延迟优化、可扩展性等工程问题。",doc_012,pending,yes,答出4个以上子方向得1分；答出2-3个得0.5分；少于2个或空白得0分
Q007,"推荐参考以下开源项目：① Dify——低代码 RAG 平台，可视化工作流编排，适合快速搭建；② RAGFlow——企业级 RAG 平台，深度文档解析能力强；③ CrewAI——多 Agent 协作框架，适合实现多角色协作；④ LangGraph——Agent 工作流框架，适合实现复杂推理链路；⑤ LangChain/LlamaIndex——RAG 开发框架，灵活可定制。","doc_005,doc_006,doc_007,doc_008",pending,yes,推荐4个以上项目+简要说明得1分；推荐2-3个项目得0.5分；少于2个或推荐无关项目得0分
Q008,"没有绝对『更好』的方案，不同方案各有侧重：① Self-RAG 侧重『自我反思』——让模型自主判断检索需求和质量；② CRAG 侧重『纠错』——检索质量低时触发修正机制；③ A-RAG 侧重『层次化』——通过分层接口提升可扩展性；④ TeaRAG 侧重『Token效率』——降低计算成本；⑤ KG-RAG 侧重『知识图谱』——利用结构化知识。选择取决于具体场景需求。","doc_014,doc_015,doc_017,doc_019,doc_016",pending,yes,答出3种以上方案+各自特点得1分；答出2种方案得0.5分；给出笼统结论或空白得0分
Q009,"LangChain 采用『链式组装』思路：通过 Chain 对象将文档加载→分割→向量化→检索→LLM 生成串联成流水线，强调模块化和可组合性。LlamaIndex 采用『索引中心』思路：以 Index 为核心管理文档，通过索引结构（向量索引/树索引/关键词索引）组织数据，检索时从索引查询。LangChain 灵活性更高适合复杂流程；LlamaIndex 在数据管理和检索策略上更开箱即用。","doc_001,doc_003",pending,yes,准确答出两种框架设计思路差异得1分；仅答一方特点得0.5分；完全错误或空白得0分
Q010,"Self-RAG 通过训练语言模型生成『反思标记』，让模型自主评估检索必要性和检索结果质量，是一种内省式(self-reflective)改进。CRAG 通过『检索纠错插件』在检索后评估结果质量，当检索质量低时触发修正——要么基于知识库修正检索，要么通过网络搜索补充。Self-RAG 是从模型内部改进，CRAG 是外部插件式改进。","doc_014,doc_015",pending,yes,准确答出两者区别（内省vs插件）得1分；仅答各自方法描述得0.5分；完全错误或空白得0分
Q011,"Dify 是『低代码 RAG 平台』，强调可视化工作流编排、多源知识库接入、丰富的 API 网关和访问控制，偏产品化和易用性，适合快速构建 RAG 应用。RAGFlow 是『企业级 RAG 平台』，强调深度文档解析（表格识别>95%）、知识图谱构建和可视化溯源，偏文档理解和检索质量。Dify 适合快速产出，RAGFlow 适合高精度文档理解场景。","doc_005,doc_006",pending,yes,答出两者定位区别+各自特点得1分；仅答一方特点得0.5分；完全错误或空白得0分
Q012,"Agentic RAG 综述(2501.09136)主要按『技术路线』分类：查询改写→路由规划→工具选择→多轮检索→证据验证，关注工程实现链路。SoK(2603.07379)按『分类体系和架构』分类：从架构类型、评估方法、研究方向等维度进行形式化整理，更学术化和系统化。前者偏『怎么做』，后者偏『怎么分类和评估』。","doc_012,doc_013",pending,yes,准确答出分类方式差异得1分；仅答基本描述得0.5分；完全错误或空白得0分
Q013,"论文列表共收录10篇论文，类型分布：① Survey（综述）——Agentic RAG Survey(2501.09136)、RAG Survey(2312.10997)共2篇；② SoK/Taxonomy（分类体系）——SoK Agentic RAG(2603.07379)共1篇；③ Method（方法）——Self-RAG(2310.11511)、CRAG(2401.15884)、A-RAG(2602.03442)、TeaRAG(2511.05385)、KG-RAG(2405.12035)共5篇；④ Analysis（分析）——RAG vs 长上下文(2407.01219)共1篇；⑤ Tool（工具）——SimGRAG(2412.15272)共1篇。",doc_011,pending,no,类型统计准确且列出论文得1分；类型基本准确但论文遗漏较多得0.5分；完全错误得0分
Q014,"RAG 改进方向：① Self-RAG——自我反思，让模型自主判断检索需求和答案质量；② CRAG——纠错检索，检索质量低时自动修正或补充；③ A-RAG——层次化检索，通过分层接口提升可扩展性；④ TeaRAG——Token 高效，降低计算和 Token 消耗；⑤ KG-RAG——知识图谱增强，引入结构化知识；⑥ Agentic RAG——自主 Agent，实现任务分解和工具调用。","doc_011,doc_014,doc_015,doc_017,doc_019",pending,no,答出5个以上方向+核心思路得1分；答出3-4个得0.5分；少于3个或完全错误得0分
Q015,"分类结果：RAG 平台——Dify（低代码RAG应用平台，强调可视化和API化）、RAGFlow（企业级RAG平台，强调深度文档解析）；Agent 框架——CrewAI（多Agent协作框架，强调角色分工和任务编排）、LangGraph（基于图的Agent工作流框架，强调状态管理和条件分支）。分类依据：核心定位和技术文档中的关键词描述。","doc_005,doc_006,doc_007,doc_008",pending,no,分类正确+说明依据得1分；分类正确但无依据得0.5分；分类错误得0分
