question_id,reference_answer,evidence_doc_id,evidence_chunk_id,citation_required,judge_rule
Q021,应指出 LangChain 更强调链式组件和 agent abstraction，LlamaIndex 更强调围绕数据与索引组织 context-augmentation / query workflow，LangGraph 更强调有状态长流程 agent 编排；最后需要给出一个面向课程项目的组合建议。,"doc_002,doc_003,doc_008","doc_002::chunk_0008,doc_003::chunk_0008,doc_008::chunk_0003",yes,能明确比较三者分工并给出合理组合方案得 1 分；只做零散介绍或只覆盖两者得 0.5 分；没有形成分工关系判断得 0 分
Q022,"应能把 Dify、RAGFlow、CrewAI、LangGraph 放到“低代码原型 / 企业级 RAG 引擎 / 多 Agent 编排 / 底层工作流编排”这类角色框架中，并据此给出面向课题目标的组合选型。","doc_005,doc_006,doc_007,doc_008","doc_005::chunk_0013,doc_006::chunk_0010,doc_007::chunk_0057,doc_008::chunk_0003",yes,能结合课题约束给出至少三项明确选型依据和组合建议得 1 分；只做项目罗列或分类不成方案得 0.5 分；明显答偏得 0 分
Q023,应根据论文机制把 Self-RAG 归到自反思或生成控制，CRAG 归到检索纠错，A-RAG 归到层次化检索接口，TeaRAG 归到 token 效率优化，KG-RAG 归到知识图谱增强，并说明每类理由。,"doc_014,doc_015,doc_016,doc_017,doc_019","doc_014::chunk_0003,doc_015::chunk_0002,doc_017::chunk_0002,doc_016::chunk_0002,doc_019::chunk_0001",yes,能完成 4 类左右的重分组并覆盖五个方法得 1 分；有分组但覆盖不全或理由偏弱得 0.5 分；分类明显混乱得 0 分
Q024,应指出普通 RAG 更适合单轮事实问答和低成本检索场景，Agentic RAG 更适合多步推理、多源检索、动态工具使用等任务，并说明证据边界。,"doc_010,doc_011,doc_012","doc_010::chunk_0008,doc_010::chunk_0019,doc_010::chunk_0022,doc_011::chunk_0036,doc_012::chunk_0002,doc_012::chunk_0003",yes,能给出三类以上任务边界并说明判断依据得 1 分；只给结论不解释边界得 0.5 分；武断宣称某一类绝对更优得 0 分
Q025,应说明复杂问题不能只靠一次检索：`rerank` 主要解决证据排序，Self-RAG 式自反思主要解决检索与生成中的自我校验，A-RAG 式多轮检索主要解决跨粒度逐步查证；三者解决的问题不同，不能互相替代。,"doc_014,doc_015,doc_017","doc_014::chunk_0002,doc_014::chunk_0003,doc_015::chunk_0002,doc_015::chunk_0003,doc_017::chunk_0002,doc_017::chunk_0003",yes,能同时区分排序增强、自反思校验和多轮分层检索三类作用得 1 分；只讲其中两类得 0.5 分；把它们混成同一种能力得 0 分
Q026,应指出 RAG chain 更偏单次检索 + 单次生成，RAG agent 允许模型调用检索工具自主组织检索，而 Agentic RAG 综述中的多步工作流进一步加入 planning、reflection、tool use 和 adaptive collaboration 来处理复杂任务。,"doc_001,doc_010,doc_012","doc_001::chunk_0004,doc_001::chunk_0068,doc_010::chunk_0006,doc_012::chunk_0002,doc_012::chunk_0003",yes,能明确比较 chain、agent、multi-step workflow 三个层次的差别得 1 分；只介绍概念不形成层次对比得 0.5 分；明显答偏得 0 分
Q027,应能先把模糊需求拆成“自反思 / 纠错 / 按步骤多轮查证”三类候选方向，再分别映射到 Self-RAG、CRAG、A-RAG；高分答案应体现缩小范围的过程，而不是直接报方法名。,"doc_014,doc_015,doc_017","doc_014::chunk_0003,doc_015::chunk_0002,doc_017::chunk_0002",yes,能先给出候选方向再逐步缩小到对应方法，并说明每一步依据得 1 分；只给最终方法列表但没有缩小范围过程得 0.5 分；不能完成模糊需求拆解得 0 分
Q028,应指出单轮 RAG 在多源信息整合、复杂查询拆解和中途检错场景下往往不够；routing 负责决定查哪个源，planning 负责拆解复杂问题，多轮检索负责逐步补证据。,"doc_010,doc_011,doc_012","doc_010::chunk_0019,doc_010::chunk_0021,doc_010::chunk_0022,doc_012::chunk_0002",yes,能分别说明 routing、planning、多轮检索在复杂任务中的不同作用得 1 分；只笼统说“复杂任务更适合 Agentic RAG”得 0.5 分；没有解释三者分工得 0 分
Q029,合理回答应是不能直接证明 SoK（2603.07379）比 Survey（2501.09136）更适合作为唯一理论主线；更稳妥的说法是两者视角不同，现有证据不足以单独抬高一方，只能说明 SoK 更 taxonomy-oriented。,"doc_012,doc_013","doc_012::chunk_0004,doc_013::chunk_0002,doc_013::chunk_0003",yes,能明确指出证据不足并说明两篇论文视角差异得 1 分；只说无法判断但不给理由得 0.5 分；武断下结论得 0 分
Q030,应指出不同 agent 角色适合承担不同阶段任务：routing agents 负责选数据源与工具，query planning agents 负责拆解复杂问题，ReAct agents 负责边推理边行动，plan-and-execute agents 负责执行完整多步流程。,"doc_010","doc_010::chunk_0018,doc_010::chunk_0019,doc_010::chunk_0021,doc_010::chunk_0022",yes,能把四类 agent 角色与复杂知识服务任务中的不同阶段清楚对应起来得 1 分；只解释部分角色得 0.5 分；角色混淆严重得 0 分
