question_id,reference_answer,evidence_doc_id,evidence_chunk_id,citation_required,judge_rule
"Q001","LangChain RAG 核心组件包括：文档加载器、文本分割器、向量存储、检索器、LLM 生成模块。回答时至少应说出其中 3 个组件，并说明各自作用。","doc_001","doc_001::chunk_0005,doc_001::chunk_0049,doc_001::chunk_0052,doc_001::chunk_0055",yes,"答出 3 个以上组件且说明作用得 1 分；答出 3 个但作用不清得 0.5 分；少于 3 个或明显答偏得 0 分"
"Q002","RAGAS 常见评估指标包括：Faithfulness、Answer Relevance、Context Precision、Context Recall。回答时应至少答出 2 个指标并给出简要解释。","doc_020,doc_004","doc_020::chunk_0000,doc_004::chunk_0005,doc_004::chunk_0008",yes,"答出 2 个以上指标且有解释得 1 分；答出 2 个但缺解释得 0.5 分；少于 2 个或错误得 0 分"
"Q003","LangGraph 是面向 stateful agents 的底层编排框架，强调多步骤工作流、状态持久化、分支与循环控制；它与 LangChain 关系密切，LangChain 的 agent 能力建立在 LangGraph 之上。","doc_008,doc_002","doc_008::chunk_0001,doc_008::chunk_0003,doc_008::chunk_0005,doc_008::chunk_0006,doc_002::chunk_0008",yes,"答出 2 个以上核心功能并说明与 LangChain 的关系得 1 分；只答功能或只答关系得 0.5 分；明显错误得 0 分"
"Q004","FAISS 是高效的向量相似度搜索库，用于在大规模向量集合中做最近邻检索；在 RAG 中通常承担向量索引和相似度检索基础设施的角色。","doc_009","doc_009::chunk_0000,doc_009::chunk_0002,doc_009::chunk_0006,doc_009::chunk_0007",yes,"答出 FAISS 的用途和它在 RAG 中的作用得 1 分；只答其一般用途得 0.5 分；错误得 0 分"
"Q005","题目指向 Self-RAG。它的关键创新是自我反思：模型通过 reflection tokens 自主判断是否需要检索、检索结果是否可靠、生成答案是否需要自检。","doc_014,doc_011","doc_014::chunk_0002,doc_014::chunk_0003,doc_011::chunk_0024,doc_011::chunk_0025",yes,"明确答出 Self-RAG 且说明自我反思机制得 1 分；只答论文名或只答泛化方法得 0.5 分；把它答成 CRAG 等其他方法得 0 分"
"Q006","Agentic RAG 综述可归纳的技术方向包括：反思、自适应检索、规划、工具使用、多智能体协作，以及围绕这些方向展开的动态工作流设计。","doc_012","doc_012::chunk_0002,doc_012::chunk_0003,doc_012::chunk_0004",yes,"答出 4 个以上方向得 1 分；答出 2 到 3 个得 0.5 分；少于 2 个或明显不相关得 0 分"
"Q007","可参考的开源项目包括：Dify、RAGFlow、CrewAI、LangGraph。回答时应至少给出 4 个项目中的 3 个，并简要说明它们分别偏向 RAG 平台、Agent 编排或多智能体框架。","doc_005,doc_006,doc_007,doc_008","doc_005::chunk_0013,doc_005::chunk_0016,doc_006::chunk_0010,doc_006::chunk_0016,doc_007::chunk_0005,doc_007::chunk_0006,doc_008::chunk_0001",yes,"推荐 4 个项目并有基本定位说明得 1 分；推荐 2 到 3 个项目得 0.5 分；推荐数量不足或明显无关得 0 分"
"Q008","不存在绝对更好的统一答案。Self-RAG 偏向自我反思，CRAG 偏向检索纠错，A-RAG 偏向层次化检索接口，TeaRAG 偏向 token 效率，KG-RAG 偏向知识图谱增强。能结合场景说明取舍即可。","doc_014,doc_015,doc_016,doc_017,doc_019","doc_014::chunk_0002,doc_015::chunk_0002,doc_016::chunk_0002,doc_017::chunk_0002,doc_019::chunk_0001",yes,"正确比较 3 种以上方法并说明各自侧重点得 1 分；比较 2 种方法得 0.5 分；给出绝对化结论或明显错误得 0 分"
"Q009","LangChain 更强调链式组合和组件编排；LlamaIndex 更强调围绕索引的数据组织和检索接口。回答时应比较两者在 RAG 实现思路上的差异，而不是只分别介绍。","doc_001,doc_003","doc_001::chunk_0005,doc_001::chunk_0058,doc_003::chunk_0001,doc_003::chunk_0004,doc_003::chunk_0005,doc_003::chunk_0007,doc_003::chunk_0009",yes,"准确比较两者设计思路差异得 1 分；只介绍单方或只有零散对比得 0.5 分；未形成对比得 0 分"
"Q010","Self-RAG 通过模型内生的 reflection/self-critique 机制改进检索与回答质量；CRAG 通过检索后质量评估与纠错流程进行外部修正。关键区别是内生自反思 vs 检索后纠错。","doc_014,doc_015","doc_014::chunk_0002,doc_014::chunk_0003,doc_015::chunk_0002,doc_015::chunk_0003",yes,"答出两者机制和关键区别得 1 分；只答出单方机制或区别不清得 0.5 分；错误得 0 分"
